date,spx,dax
09/07/2002,952.830017,4369.759766
10/07/2002,920.469971,4190.220215
11/07/2002,927.369995,4118.5
12/07/2002,921.390015,4130.799805
15/07/2002,917.929993,3912.51001
16/07/2002,900.940002,3977.75
17/07/2002,906.039978,4092.820068
18/07/2002,881.559998,4100.75
19/07/2002,847.75,3891.879883
22/07/2002,819.849976,3691.429932
23/07/2002,797.700012,3515.830078
24/07/2002,843.429993,3632.659912
25/07/2002,838.679993,3520.459961
26/07/2002,852.840027,3579
29/07/2002,898.960022,3859.780029
30/07/2002,902.780029,3878.939941
31/07/2002,911.619995,3700.139893
01/08/2002,884.659973,3606.449951
02/08/2002,864.23999,3532.48999
05/08/2002,834.599976,3332.649902
06/08/2002,859.570007,3568.639893
07/08/2002,876.77002,3465.540039
08/08/2002,905.460022,3679.26001
09/08/2002,908.640015,3760.860107
12/08/2002,903.799988,3647.129883
13/08/2002,884.210022,3683.209961
14/08/2002,919.619995,3589.919922
15/08/2002,930.25,3665.73999
16/08/2002,928.77002,3684.689941
19/08/2002,950.700012,3837.669922
20/08/2002,937.429993,3768.51001
21/08/2002,949.359985,3868.169922
22/08/2002,962.700012,3906.550049
23/08/2002,940.859985,3828.26001
26/08/2002,947.950012,3783.840088
27/08/2002,934.820007,3851.340088
28/08/2002,917.869995,3682.840088
29/08/2002,917.799988,3660.949951
30/08/2002,916.070007,3712.939941
03/09/2002,878.02002,3398.98999
04/09/2002,893.400024,3425.899902
05/09/2002,879.150024,3354.709961
06/09/2002,893.919983,3485.679932
09/09/2002,902.960022,3429.219971
10/09/2002,909.580017,3494.689941
11/09/2002,909.450012,3584.689941
12/09/2002,886.909973,3421.870117
13/09/2002,889.809998,3361.280029
16/09/2002,891.099976,3319.050049
17/09/2002,873.52002,3289.129883
18/09/2002,869.460022,3124.919922
19/09/2002,843.320007,3007.469971
20/09/2002,845.390015,3065.72998
23/09/2002,833.700012,2914.25
24/09/2002,819.289978,2873.209961
25/09/2002,839.659973,2962.5
26/09/2002,854.950012,3020.600098
27/09/2002,827.369995,2918.899902
30/09/2002,815.280029,2769.030029
01/10/2002,847.909973,2865.22998
02/10/2002,827.909973,2926.73999
03/10/2002,818.950012,2813.300049
04/10/2002,800.580017,2714.620117
07/10/2002,785.280029,2667.389893
08/10/2002,798.549988,2622.090088
09/10/2002,776.76001,2597.879883
10/10/2002,803.919983,2733.189941
11/10/2002,835.320007,2930.73999
14/10/2002,841.440002,2850.110107
15/10/2002,881.27002,3048.27002
16/10/2002,860.02002,3008.929932
17/10/2002,879.200012,3172.459961
18/10/2002,884.390015,3163.669922
21/10/2002,899.719971,3282.669922
22/10/2002,890.159973,3155.969971
23/10/2002,896.140015,3015.419922
24/10/2002,882.5,3090.01001
25/10/2002,897.650024,3102.01001
28/10/2002,890.22998,3198.959961
29/10/2002,882.150024,3022.01001
30/10/2002,890.710022,3113.590088
31/10/2002,885.76001,3152.850098
01/11/2002,900.960022,3165.159912
04/11/2002,908.349976,3327.939941
05/11/2002,915.390015,3351.320068
06/11/2002,923.76001,3298.840088
07/11/2002,902.650024,3155.659912
08/11/2002,894.73999,3079.100098
11/11/2002,876.190002,3042.060059
12/11/2002,882.950012,3115.879883
13/11/2002,882.530029,3066.419922
14/11/2002,904.27002,3188.389893
15/11/2002,909.830017,3191.76001
18/11/2002,900.359985,3218.360107
19/11/2002,896.73999,3206.929932
